cantidad beneficiarios,monto otorgado,mes,año,,,,,
0,0,enero,2021,,,,,
85497,31002300,febrero,2021,,,,,
0,0,marzo,2021,,,,,
85089,30743700,abril,2021,,,,,
0,0,mayo,2021,,,,,
85028,30722700,junio,2021,,,,,
0,0,julio,2021,,,,,
84926,30689700,agosto,2021,,,,,
0,0,septiembre,2021,,,,,
84838,30661500,octubre,2021,,,,,
0,0,noviembre,2021,,,,,
0,0,diciembre,2021,,,,,
0,0,enero,2020,,,,,
85851,31002300,febrero,2020,,,,,
0,0,marzo,2020,,,,,
85730,30966300,abril,2020,,,,,
0,0,mayo,2020,,,,,
85022,30702000,junio,2020,,,,,
0,0,julio,2020,,,,,
84670,30578700,agosto,2020,,,,,
0,0,septiembre,2020,,,,,
85612,30922500,octubre,2020,,,,,
0,0,noviembre,2020,,,,,
0,0,diciembre,2020,,,,,
0,0,enero,2019,,,,,
109615,39310500,febrero,2019,,,,,
0,0,marzo,2019,,,,,
109641,39540600,abril,2019,,,,,
0,0,mayo,2019,,,,,
112615,40713900,junio,2019,,,,,
0,0,julio,2019,,,,,
113150,40942500,agosto,2019,,,,,
0,0,septiembre,2019,,,,,
112587,40722300,octubre,2019,,,,,
0,0,noviembre,2019,,,,,
8591,8591000,diciembre,2019,,,,,
0,0,enero,2018,,,,,
231132,145276200,febrero,2018,,,,,
0,0,marzo,2018,,,,,
220643,146110500,abril,2018,,,,,
0,0,mayo,2018,,,,,
238478,150444900,junio,2018,,,,,
0,0,julio,2018,,,,,
235809,148687500,agosto,2018,,,,,
0,0,septiembre,2018,,,,,
238425,150252600,octubre,2018,,,,,
0,0,noviembre,2018,,,,,
0,0,diciembre,2018,,,,,
0,0,enero,2017,,,,,
233237,146732700,febrero,2017,,,,,
0,0,marzo,2017,,,,,
225407,141373200,abril,2017,,,,,
0,0,mayo,2017,,,,,
222886,139612800,junio,2017,,,,,
0,0,julio,2017,,,,,
222264,139191300,agosto,2017,,,,,
0,0,septiembre,2017,,,,,
220588,138093900,octubre,2017,,,,,
0,0,noviembre,2017,,,,,
0,0,diciembre,2017,,,,,
0,0,enero,2016,,,,,
211412,132215700,febrero,2016,,,,,
0,0,marzo,2016,,,,,
215803,135353400,abril,2016,,,,,
0,0,mayo,2016,,,,,
217394,136420800,junio,2016,,,,,
0,0,julio,2016,,,,,
217202,136242900,agosto,2016,,,,,
0,0,septiembre,2016,,,,,
217715,136634400,octubre,2016,,,,,
0,0,noviembre,2016,,,,,
0,0,diciembre,2016,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
